Order_Date,Order_Revenue,Running_Total_Revenue
"2006-07-04 00:00:00",440.00,440.00
"2006-07-05 00:00:00",1863.40,2303.40
"2006-07-08 00:00:00",2206.66,4510.06
"2006-07-09 00:00:00",3597.90,8107.96
"2006-07-10 00:00:00",1444.80,9552.76
"2006-07-11 00:00:00",556.62,10109.38
"2006-07-12 00:00:00",2490.50,12599.88
"2006-07-15 00:00:00",517.80,13117.68
"2006-07-16 00:00:00",1119.90,14237.58
"2006-07-17 00:00:00",1614.88,15852.46
"2006-07-18 00:00:00",100.80,15953.26
"2006-07-19 00:00:00",1952.65,17905.91
"2006-07-22 00:00:00",584.00,18489.91
"2006-07-23 00:00:00",1873.80,20363.71
"2006-07-24 00:00:00",695.63,21059.34
"2006-07-25 00:00:00",1176.00,22235.34
"2006-07-26 00:00:00",346.56,22581.90
"2006-07-29 00:00:00",3536.60,26118.50
"2006-07-30 00:00:00",1101.20,27219.70
"2006-07-31 00:00:00",642.20,27861.90
"2006-08-01 00:00:00",1424.00,29285.90
"2006-08-02 00:00:00",1456.00,30741.90
"2006-08-05 00:00:00",2037.28,32779.18
"2006-08-06 00:00:00",538.60,33317.78
"2006-08-07 00:00:00",291.84,33609.62
"2006-08-08 00:00:00",420.00,34029.62
"2006-08-09 00:00:00",1200.80,35230.42
"2006-08-12 00:00:00",1488.80,36719.22
"2006-08-13 00:00:00",351.00,37070.22
"2006-08-14 00:00:00",699.70,37769.92
"2006-08-15 00:00:00",155.40,37925.32
"2006-08-16 00:00:00",1414.80,39340.12
"2006-08-19 00:00:00",1170.38,40510.50
"2006-08-20 00:00:00",1743.36,42253.86
"2006-08-21 00:00:00",3016.00,45269.86
"2006-08-22 00:00:00",819.00,46088.86
"2006-08-23 00:00:00",80.10,46168.96
"2006-08-26 00:00:00",479.40,46648.36
"2006-08-27 00:00:00",2666.52,49314.88
"2006-08-28 00:00:00",1296.00,50610.88
"2006-08-29 00:00:00",848.70,51459.58
"2006-08-30 00:00:00",1887.60,53347.18
"2006-09-02 00:00:00",121.60,53468.78
"2006-09-03 00:00:00",1050.60,54519.38
"2006-09-04 00:00:00",1420.00,55939.38
"2006-09-05 00:00:00",2645.00,58584.38
"2006-09-06 00:00:00",349.50,58933.88
"2006-09-09 00:00:00",1363.00,60296.88
"2006-09-10 00:00:00",2708.80,63005.68
"2006-09-11 00:00:00",1117.80,64123.48
"2006-09-12 00:00:00",954.40,65077.88
"2006-09-13 00:00:00",3741.30,68819.18
"2006-09-16 00:00:00",498.50,69317.68
"2006-09-17 00:00:00",424.00,69741.68
"2006-09-18 00:00:00",88.80,69830.48
"2006-09-19 00:00:00",1762.00,71592.48
"2006-09-20 00:00:00",604.80,72197.28
"2006-09-23 00:00:00",1614.80,73812.08
"2006-09-24 00:00:00",182.40,73994.48
"2006-09-25 00:00:00",2094.30,76088.78
"2006-09-26 00:00:00",516.80,76605.58
"2006-09-27 00:00:00",2835.00,79440.58
"2006-09-30 00:00:00",288.00,79728.58
"2006-10-01 00:00:00",240.40,79968.98
"2006-10-02 00:00:00",1191.20,81160.18
"2006-10-03 00:00:00",660.00,81820.18
"2006-10-04 00:00:00",112.00,81932.18
"2006-10-07 00:00:00",164.40,82096.58
"2006-10-08 00:00:00",5275.72,87372.30
"2006-10-09 00:00:00",1497.00,88869.30
"2006-10-10 00:00:00",982.00,89851.30
"2006-10-11 00:00:00",1810.00,91661.30
"2006-10-14 00:00:00",1168.00,92829.30
"2006-10-15 00:00:00",4578.43,97407.73
"2006-10-16 00:00:00",1737.50,99145.23
"2006-10-17 00:00:00",1786.88,100932.11
"2006-10-18 00:00:00",877.20,101809.31
"2006-10-21 00:00:00",144.80,101954.11
"2006-10-22 00:00:00",2036.16,103990.27
"2006-10-23 00:00:00",285.12,104275.39
"2006-10-24 00:00:00",2467.00,106742.39
"2006-10-25 00:00:00",934.50,107676.89
"2006-10-28 00:00:00",3354.00,111030.89
"2006-10-29 00:00:00",2788.78,113819.67
"2006-10-30 00:00:00",1840.64,115660.31
"2006-10-31 00:00:00",1584.00,117244.31
"2006-11-01 00:00:00",2296.00,119540.31
"2006-11-04 00:00:00",2924.80,122465.11
"2006-11-05 00:00:00",1618.88,124083.99
"2006-11-06 00:00:00",814.42,124898.41
"2006-11-07 00:00:00",363.60,125262.01
"2006-11-08 00:00:00",141.60,125403.61
"2006-11-11 00:00:00",6040.79,131444.40
"2006-11-12 00:00:00",136.30,131580.70
"2006-11-13 00:00:00",8593.28,140173.98
"2006-11-14 00:00:00",568.80,140742.78
"2006-11-15 00:00:00",480.00,141222.78
"2006-11-18 00:00:00",1106.40,142329.18
"2006-11-19 00:00:00",1167.68,143496.86
"2006-11-20 00:00:00",429.40,143926.26
"2006-11-21 00:00:00",3471.68,147397.94
"2006-11-22 00:00:00",9436.44,156834.38
"2006-11-25 00:00:00",1549.60,158383.98
"2006-11-26 00:00:00",1397.20,159781.18
"2006-11-27 00:00:00",403.20,160184.38
"2006-11-28 00:00:00",970.20,161154.58
"2006-11-29 00:00:00",1689.78,162844.36
"2006-12-02 00:00:00",2390.40,165234.76
"2006-12-03 00:00:00",1190.56,166425.32
"2006-12-04 00:00:00",9210.90,175636.22
"2006-12-05 00:00:00",1825.40,177461.62
"2006-12-06 00:00:00",338.00,177799.62
"2006-12-09 00:00:00",1262.60,179062.22
"2006-12-10 00:00:00",103.20,179165.42
"2006-12-11 00:00:00",863.28,180028.70
"2006-12-12 00:00:00",1425.82,181454.52
"2006-12-13 00:00:00",2900.00,184354.52
"2006-12-16 00:00:00",3121.40,187475.92
"2006-12-17 00:00:00",691.20,188167.12
"2006-12-18 00:00:00",1224.40,189391.52
"2006-12-19 00:00:00",1228.80,190620.32
"2006-12-20 00:00:00",1832.80,192453.12
"2006-12-23 00:00:00",2177.28,194630.40
"2006-12-24 00:00:00",1440.00,196070.40
"2006-12-25 00:00:00",2998.95,199069.35
"2006-12-26 00:00:00",2122.92,201192.27
"2006-12-27 00:00:00",2620.52,203812.79
"2006-12-30 00:00:00",2505.60,206318.39
"2006-12-31 00:00:00",1765.60,208083.99
"2007-01-01 00:00:00",6931.60,215015.59
"2007-01-02 00:00:00",2713.50,217729.09
"2007-01-03 00:00:00",2446.27,220175.36
"2007-01-06 00:00:00",400.00,220575.36
"2007-01-07 00:00:00",3024.78,223600.14
"2007-01-08 00:00:00",1622.40,225222.54
"2007-01-09 00:00:00",319.20,225541.74
"2007-01-10 00:00:00",1768.80,227310.54
"2007-01-13 00:00:00",334.80,227645.34
"2007-01-14 00:00:00",2348.03,229993.37
"2007-01-15 00:00:00",102.40,230095.77
"2007-01-16 00:00:00",11908.40,242004.17
"2007-01-17 00:00:00",1814.80,243818.97
"2007-01-20 00:00:00",2097.60,245916.57
"2007-01-21 00:00:00",2902.11,248818.68
"2007-01-22 00:00:00",49.80,248868.48
"2007-01-23 00:00:00",10214.56,259083.04
"2007-01-24 00:00:00",360.00,259443.04
"2007-01-27 00:00:00",989.20,260432.24
"2007-01-28 00:00:00",192.00,260624.24
"2007-01-29 00:00:00",1441.38,262065.62
